index,key,file_name,file_path,jpg_path,convert_jpg_path,scaled_jpg_path,cluster_index,keep_image,Tags
0,001D157E-C0F9-4828-819A-12F1039A7805,001D157E-C0F9-4828-819A-12F1039A7805.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\001D157E-C0F9-4828-819A-12F1039A7805.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\001D157E-C0F9-4828-819A-12F1039A7805.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\001D157E-C0F9-4828-819A-12F1039A7805.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\001D157E-C0F9-4828-819A-12F1039A7805.jpg,0,True,"Keep, Test"
1,005AE727-E3AC-407B-AD98-D784D708F517,005AE727-E3AC-407B-AD98-D784D708F517.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\005AE727-E3AC-407B-AD98-D784D708F517.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\005AE727-E3AC-407B-AD98-D784D708F517.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\005AE727-E3AC-407B-AD98-D784D708F517.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\005AE727-E3AC-407B-AD98-D784D708F517.jpg,0,False,"Remove, Test"
2,006432FF-E9EC-400D-A888-4F4846440D25,006432FF-E9EC-400D-A888-4F4846440D25.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\006432FF-E9EC-400D-A888-4F4846440D25.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\006432FF-E9EC-400D-A888-4F4846440D25.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\006432FF-E9EC-400D-A888-4F4846440D25.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\006432FF-E9EC-400D-A888-4F4846440D25.jpg,-1,True,"Keep, Test"
3,006EA160-92FF-45BA-85A0-FE89E908EA95,006EA160-92FF-45BA-85A0-FE89E908EA95.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\006EA160-92FF-45BA-85A0-FE89E908EA95.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\006EA160-92FF-45BA-85A0-FE89E908EA95.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\006EA160-92FF-45BA-85A0-FE89E908EA95.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\006EA160-92FF-45BA-85A0-FE89E908EA95.jpg,0,False,"Remove, Test"
4,00742FBB-C1D4-49BD-BF34-02958188C1C1,00742FBB-C1D4-49BD-BF34-02958188C1C1.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\00742FBB-C1D4-49BD-BF34-02958188C1C1.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00742FBB-C1D4-49BD-BF34-02958188C1C1.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\00742FBB-C1D4-49BD-BF34-02958188C1C1.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00742FBB-C1D4-49BD-BF34-02958188C1C1.jpg,0,False,"Remove, Test"
5,00816F90-8B70-4935-92B8-1C625781F82D,00816F90-8B70-4935-92B8-1C625781F82D.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\00816F90-8B70-4935-92B8-1C625781F82D.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00816F90-8B70-4935-92B8-1C625781F82D.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\00816F90-8B70-4935-92B8-1C625781F82D.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00816F90-8B70-4935-92B8-1C625781F82D.jpg,1,True,"Keep, Test"
6,008204B2-D949-4D14-AE2A-A62A3DA388F7,008204B2-D949-4D14-AE2A-A62A3DA388F7.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\008204B2-D949-4D14-AE2A-A62A3DA388F7.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\008204B2-D949-4D14-AE2A-A62A3DA388F7.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\008204B2-D949-4D14-AE2A-A62A3DA388F7.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\008204B2-D949-4D14-AE2A-A62A3DA388F7.jpg,2,True,"Keep, Test"
7,00AF76B9-4D13-4B31-899A-BF7B11FF0CD2,00AF76B9-4D13-4B31-899A-BF7B11FF0CD2.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\00AF76B9-4D13-4B31-899A-BF7B11FF0CD2.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00AF76B9-4D13-4B31-899A-BF7B11FF0CD2.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\00AF76B9-4D13-4B31-899A-BF7B11FF0CD2.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00AF76B9-4D13-4B31-899A-BF7B11FF0CD2.jpg,3,True,"Keep, Test"
8,00B862C3-DEAA-4668-9171-4AAE6848C1E4,00B862C3-DEAA-4668-9171-4AAE6848C1E4.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\00B862C3-DEAA-4668-9171-4AAE6848C1E4.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00B862C3-DEAA-4668-9171-4AAE6848C1E4.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\00B862C3-DEAA-4668-9171-4AAE6848C1E4.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00B862C3-DEAA-4668-9171-4AAE6848C1E4.jpg,0,False,"Remove, Test"
9,00D94E63-F3E7-4B36-8097-56627F87324D,00D94E63-F3E7-4B36-8097-56627F87324D.dng,data\main_run\2020-10-15_13-03-57\processed\converted_images\00D94E63-F3E7-4B36-8097-56627F87324D.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00D94E63-F3E7-4B36-8097-56627F87324D.jpg,data\main_run\2020-10-15_13-03-57\processed\converted_images\00D94E63-F3E7-4B36-8097-56627F87324D.jpg,data\main_run\2020-10-15_13-03-57\processed\resized_bw_images\00D94E63-F3E7-4B36-8097-56627F87324D.jpg,0,False,"Remove, Test"
